label	text
ham	Hi there! How are you doing today?
spam	WINNER!! You've won a $1000 Walmart gift card. Claim now at http://bit.ly/claim123
ham	Can we meet for lunch tomorrow?
spam	URGENT: Your account will be suspended. Verify immediately at secure-bank.com
ham	Thanks for the help yesterday!
spam	FREE iPhone 15! Just pay shipping. Order now: bit.ly/freeiphone
ham	What time does the movie start?
spam	Congratulations! You've been selected for a exclusive offer. Call 1-800-SCAM-NOW
ham	Running 5 minutes late, sorry!
spam	MAKE MONEY FAST! Work from home and earn $5000/week. No experience needed!
ham	Did you see the game last night?
spam	VIAGRA 80% OFF! Limited time offer. Buy now at cheap-pills.com
ham	Birthday party on Saturday at 7pm
spam	Your inheritance of £2.5 million is waiting. Contact solicitor@gmail.com immediately!
ham	Can you pick up milk on your way home?
spam	ALERT: Suspicious activity detected. Click here to verify your account: http://fake-bank.net
ham	Great job on the presentation!
spam	Weight loss miracle! Lose 30 pounds in 30 days with this one weird trick!
ham	Let's catch up this weekend
spam	URGENT MESSAGE: You have won a lottery. Send your details to claim your prize of $500,000
ham	The restaurant was amazing, we should go again
spam	CASH ADVANCE! Get up to $10,000 today. Bad credit OK. Apply now!
ham	Don't forget mom's birthday next week
spam	SECRET SHOPPER wanted! Earn $150/hour. Flexible hours. Start immediately!
ham	I'll be there in 10 minutes
spam	CONGRATULATIONS! Free cruise for 2! Call now to claim: 1-888-SCAM-USA
ham	What did the doctor say?
spam	INVESTMENT OPPORTUNITY! Double your money in 30 days guaranteed! Risk free!
ham	Need to reschedule our meeting to Thursday
spam	Pharmacy Alert: Your prescription is ready. Pickup at discount-meds.com or call 555-FAKE
ham	The weather is beautiful today
spam	YOU HAVE BEEN SELECTED for a exclusive credit card offer. 0% APR for life! Apply now!
ham	Just finished reading that book you recommended
spam	EMERGENCY: Your computer is infected! Call tech support immediately: 1-800-SCAM-TECH
ham	Pizza for dinner?
spam	LIMITED TIME OFFER! Buy one get one FREE on all designer watches. Visit luxury-fakes.com
ham	Can you help me move this weekend?
spam	Work from home opportunity! No experience necessary. Earn $500 daily! Contact us now!
ham	I love the new park downtown
spam	FINAL NOTICE: Your car warranty is expiring. Call 555-SCAM to extend coverage.
ham	See you at the gym tomorrow morning
spam	Exclusive deal just for you! 90% off all products. Shop now at counterfeit-goods.com
ham	The concert was incredible!
spam	ATTENTION: You qualify for a government grant of $25,000. Apply now at fake-grants.gov
ham	Need groceries, making a list
spam	Prize notification! You've won a brand new laptop. Claim at http://scam-prizes.net
ham	Flight lands at 3pm on Tuesday
spam	URGENT: Family emergency! Wire money immediately to help stranded relative.
ham	Let's plan a trip to the beach
spam	MAKE $10,000 WEEKLY! Secret system revealed. Order your guide now!
ham	The kids loved the zoo
spam	Your package delivery failed. Reschedule at fake-fedex.com or call 1-800-DELIVERY
ham	Finished the project, sending it now
spam	LOTTERY WINNER! Your numbers have been selected. Contact claims@lottery-scam.com
ham	Coffee tomorrow morning at 8?
