label,text
ham,Hi there! How are you doing today?
ham,Can we meet for lunch tomorrow?
ham,Thanks for the help yesterday!
ham,What time does the movie start?
ham,Running 5 minutes late sorry!
ham,Did you see the game last night?
ham,Birthday party on Saturday at 7pm
ham,Can you pick up milk on your way home?
ham,Great job on the presentation!
ham,Let us catch up this weekend
ham,The restaurant was amazing
ham,Do not forget mom birthday next week
ham,I will be there in 10 minutes
ham,What did the doctor say?
ham,The weather is beautiful today
ham,Just finished reading that book
ham,Traffic was terrible this morning
ham,Book club meeting next Thursday
ham,The garden is blooming nicely
ham,Yoga class was great today
spam,WINNER You have won a 1000 dollar gift card Claim now
spam,URGENT Your account will be suspended Verify immediately
spam,FREE iPhone 15 Just pay shipping Order now
spam,Congratulations You have been selected for a exclusive offer
spam,MAKE MONEY FAST Work from home and earn 5000 dollars per week
spam,VIAGRA 80 percent OFF Limited time offer Buy now
spam,Your inheritance of 2.5 million pounds is waiting Contact us
spam,ALERT Suspicious activity detected Click here to verify
spam,Weight loss miracle Lose 30 pounds in 30 days
spam,URGENT MESSAGE You have won a lottery Send details to claim
spam,CASH ADVANCE Get up to 10000 dollars today Bad credit OK
spam,SECRET SHOPPER wanted Earn 150 dollars per hour
spam,CONGRATULATIONS Free cruise for 2 Call now
spam,INVESTMENT OPPORTUNITY Double your money in 30 days
spam,Pharmacy Alert Your prescription is ready Pickup
spam,YOU HAVE BEEN SELECTED for exclusive credit card offer
spam,EMERGENCY Your computer is infected Call tech support
spam,LIMITED TIME OFFER Buy one get one FREE
spam,Work from home No experience necessary Earn 500 dollars daily
spam,FINAL NOTICE Your car warranty is expiring Call now
ham,Picked up the dry cleaning
ham,New recipe turned out delicious
ham,Walking the dog in the park
ham,Library books are due Friday
ham,Guitar lesson at 6pm
ham,Grocery shopping after work
ham,Movie night at our place
ham,Plumber coming to fix the leak
ham,Need to call the electrician
ham,Dentist appointment at 2pm
ham,Haircut scheduled for Saturday
ham,Car wash this afternoon
ham,Baking cookies for the neighbors
ham,Planting flowers in the garden
ham,Reading before bed
spam,Buy now at cheap-pills.com
spam,Call 1-800-SCAM now
spam,Click link to verify your account
spam,Contact solicitor at gmail.com immediately
spam,Visit luxury-fakes.com for deals
spam,Order now at bit.ly link
spam,Call 1-888-SCAM-USA for cruise
spam,Apply at fake-grants.gov for grant
spam,Reschedule at fake-fedex.com
spam,Claim at scam-prizes.net
spam,Wire money immediately to help
spam,Send your details to claim prize
spam,Pay only shipping to claim
spam,Taxes and fees required
spam,Customs fee must be paid
spam,Call 555-SCAM to extend coverage
spam,Shop at counterfeit-goods.com
spam,Apply now at fake-insurance.com
spam,Order at fake-pharmacy.com
spam,Verify at email-phishing.com
spam,Double your Bitcoin in 24 hours
spam,Secret cryptocurrency will make you rich
spam,Invest 100 dollars earn 10000 dollars
spam,Pre-IPO shares available now
spam,Gold prices skyrocketing tomorrow
spam,Lottery winner selected
spam,You qualify for government grant
spam,Debt forgiveness available
spam,Loan approval guaranteed
spam,Credit card pre-approved
spam,Work flexible hours from home
spam,Earn thousands weekly
spam,Be your own boss
spam,No experience needed
spam,Start immediately
spam,Exclusive membership offer
